Year,GeoFIPS,Net_earnings_by_place_of_residence,Percapita_personal_income,Population,Wage_and_salary_employment,Earnings_per_job_avg,Personal_income,Total_employment
2015-01-01,19181,1545227,45359,48465,11709,36143,2198331,18448
2015-01-01,20205,206855,41175,8848,3672,45076,364316,5141
2015-01-01,17137,690711,36795,34665,14923,41896,1275512,18799
2015-01-01,40117,314785,33649,16448,3665,32860,553464,6329
2015-01-01,48391,162823,43224,7324,2691,37705,316573,3909
2015-01-01,24005,28814166,55591,827471,396945,56576,46000035,514668
2015-01-01,27053,53655807,67898,1222578,952198,72277,83011070,1135017
2015-01-01,36045,3118356,43179,116403,58873,56324,5026107,68755
2015-01-01,48153,139579,40576,5851,1739,46890,237410,2891
2015-01-01,24039,377471,30042,25684,7221,52380,771587,9562
2015-01-01,36023,1111743,37367,48296,19097,49828,1804664,23832
2015-01-01,50013,228171,53899,6870,1294,33212,370286,2705
2015-01-01,41015,349664,39180,22296,6739,37174,873566,10143
2015-01-01,17065,192984,40570,8249,2198,44950,334660,3788
2015-01-01,27127,523808,54074,15422,6356,58795,833922,9320
2015-01-01,48273,689411,36991,31487,13379,44496,1164730,16323
2015-01-01,27135,433597,45660,15619,8961,43439,713164,11951
2015-01-01,40127,170844,31464,11144,3074,29568,350638,5158
2015-01-01,35033,113187,45588,4613,802,54823,210298,1776
2015-01-01,17063,1806320,48556,50363,19961,69714,2445442,24681
2015-01-01,48507,158896,26814,12322,3571,35684,330407,4591
2015-01-01,38099,231374,42686,10845,5247,35737,462929,7577
2015-01-01,38013,110904,70975,2344,897,46088,166365,1708
2015-01-01,20023,63873,42119,2677,986,37187,112752,1731
2015-01-01,37043,131796,31752,10619,2086,25775,337173,3798
2015-01-01,37073,221992,33229,11529,1705,25761,383102,2742
2015-01-01,37171,1412357,35803,71971,30532,38655,2576801,39070
2015-01-01,12021,9793559,83236,356107,144836,46885,29640880,210254
2015-01-01,37027,1409227,31773,81512,25091,38591,2589868,32410
2015-01-01,37001,3476639,36830,157100,62458,41480,5785944,79311
2015-01-01,37069,1296138,32463,63630,12683,40145,2065635,18908
2015-01-01,37103,181654,36411,9785,1813,35724,356281,2676
2015-01-01,13139,4776677,38864,192458,85448,49799,7479773,107204
2015-01-01,13239,27723,27857,2281,415,33994,63542,629
2015-01-01,13077,3958514,41277,138106,40143,37898,5700621,57415
2015-01-01,45071,774491,35766,37776,14155,40347,1351084,17697
2015-01-01,13141,100671,26412,8579,1714,32027,226588,2659
2015-01-01,13305,478077,29741,29422,8642,43423,875043,11383
2015-01-01,51911,2600067,35902,134560,74531,47864,4830978,87082
2015-01-01,18015,488822,38671,19882,5611,40533,768861,7756
2015-01-01,01039,638345,32468,37551,13353,36185,1219220,17704
2015-01-01,18013,377628,42324,14995,3280,29241,634645,5791
2015-01-01,18079,559537,35149,27829,7882,39646,978168,10245
2015-01-01,29199,81055,31740,4820,1334,29509,152988,2639
2015-01-01,13107,330072,29474,22477,7179,32944,662478,10079
2015-01-01,29037,2911559,42502,101348,27457,37660,4307457,38903
